   8   534    0
                    2.7410740E+00  -1.2526866E-01   0.0000000E+00  6  c
                    3.3168778E+00  -1.1879950E+00  -1.6535131E+00  1  hw
                    3.3168778E+00  -1.1879950E+00   1.6535131E+00  1  hw
                    3.6315480E+00   1.7099356E+00   0.0000000E+00  1  hw
                   -7.9994412E-02   1.8612627E-01   0.0000000E+00  6  c
                   -1.2673414E+00  -2.0337405E+00   0.0000000E+00  8  ow
                   -3.0393837E+00  -1.7199645E+00   0.0000000E+00  1  hw
                   -1.1844022E+00   2.1384237E+00   0.0000000E+00  8  ow
   1.1239640E-02   3.7331802E+00   1.5931097E+00   3.4367567E+00
   1.0476722E-02   1.7489678E+00   1.5931097E+00   3.4367567E+00
   1.3858465E-02   6.7094989E+00  -1.2526866E-01   0.0000000E+00
   8.9303273E-03   3.2194148E+00  -4.0647592E+00   0.0000000E+00
   1.4574294E-02   4.9953963E+00  -3.3912183E+00   0.0000000E+00
   1.4787732E-02   6.2549397E+00  -1.9694876E+00   0.0000000E+00
   1.1239640E-02   3.7331802E+00   1.5931097E+00  -3.4367567E+00
   1.0476722E-02   1.7489678E+00   1.5931097E+00  -3.4367567E+00
   1.0971732E-02   3.8411836E+00  -4.1614812E+00  -6.7246454E-01
   1.4652266E-02   5.6298395E+00  -3.1288003E+00  -6.7246454E-01
   1.5966814E-02   6.3362348E+00  -1.1879950E+00  -2.6345617E+00
   1.4084057E-02   5.6298395E+00   7.5281035E-01  -2.6345617E+00
   5.8962426E-03   1.8071992E+00  -3.8028349E+00  -2.6345617E+00
   1.4494657E-02   3.8411836E+00  -4.1614812E+00  -2.6345617E+00
   1.7131163E-02   5.6298395E+00  -3.1288003E+00  -2.6345617E+00
   1.7602715E-02   5.1829431E+00  -1.1879950E+00  -4.2219316E+00
   1.3822746E-02   3.8935237E+00   5.8673859E-01  -4.2219316E+00
   1.6690933E-02   1.8071992E+00  -9.1149306E-02  -4.2219316E+00
   1.5151705E-02   1.8071992E+00  -2.2848406E+00  -4.2219316E+00
   1.8174404E-02   3.8935237E+00  -2.9627285E+00  -4.2219316E+00
   1.7337873E-02   3.3168778E+00  -1.1879950E+00  -4.8282530E+00
   1.7337873E-02   3.3168778E+00  -1.1879950E+00   4.8282530E+00
   1.7602715E-02   5.1829431E+00  -1.1879950E+00   4.2219316E+00
   1.3822746E-02   3.8935237E+00   5.8673859E-01   4.2219316E+00
   1.6690933E-02   1.8071992E+00  -9.1149306E-02   4.2219316E+00
   1.5151705E-02   1.8071992E+00  -2.2848406E+00   4.2219316E+00
   1.8174404E-02   3.8935237E+00  -2.9627285E+00   4.2219316E+00
   1.5966814E-02   6.3362348E+00  -1.1879950E+00   2.6345617E+00
   1.4084057E-02   5.6298395E+00   7.5281035E-01   2.6345617E+00
   5.8962426E-03   1.8071992E+00  -3.8028349E+00   2.6345617E+00
   1.4494657E-02   3.8411836E+00  -4.1614812E+00   2.6345617E+00
   1.7131163E-02   5.6298395E+00  -3.1288003E+00   2.6345617E+00
   1.0971732E-02   3.8411836E+00  -4.1614812E+00   6.7246454E-01
   1.4652266E-02   5.6298395E+00  -3.1288003E+00   6.7246454E-01
   1.2534426E-02   5.4976133E+00   1.7099356E+00   2.5684185E+00
   8.3406122E-03   4.2081939E+00   3.4846692E+00   2.5684185E+00
   1.3825093E-02   6.6509051E+00   1.7099356E+00   9.8104858E-01
   1.3677071E-02   5.9445097E+00   3.6507409E+00   9.8104858E-01
   7.1983482E-03   4.1558538E+00   4.6834219E+00   9.8104858E-01
  -1.3747224E-02   2.1218695E+00   4.3247756E+00   9.8104858E-01
   1.3825093E-02   6.6509051E+00   1.7099356E+00  -9.8104858E-01
   1.3677071E-02   5.9445097E+00   3.6507409E+00  -9.8104858E-01
