   1.1157904756   -4.5538986802   -1.5355507814
   3.7199183923   -3.5662832319   -1.5355507814
   2.3854607384   -1.6810378966   -3.3542041293
   3.8686936691   -3.2040913014   -1.8115624192
   2.5483694297   -4.7775924571   -1.8115624192
   3.4948853415   -4.2311212406   -1.8115624192
   3.8686936691   -3.2040913014   -2.8498595203
   3.4948853415   -2.1770613622   -2.8498595203
   1.4720312480   -4.5878049953   -2.8498595203
   2.5483694297   -4.7775924571   -2.8498595203
   3.4948853415   -4.2311212406   -2.8498595203
   3.2583979456   -3.2040913014   -3.6898595203
   2.5760665835   -2.2649427508   -3.6898595203
   1.4720312480   -3.7845170261   -3.6898595203
   2.5760665835   -4.1432398519   -3.6898595203
   2.2709187217   -3.2040913014   -4.0107109698
   2.5807254185   -1.8047849486    0.3495504661
   3.5682046423   -1.8047849486    0.0286990167
   4.1785003658   -1.8047849486   -0.8113009833
   3.8046920382   -0.7777550094   -0.8113009833
   4.1785003658   -1.8047849486   -1.8495980844
   3.8046920382   -0.7777550094   -1.8495980844
   2.8581761264   -0.2312837929   -1.8495980844
   3.5682046423   -1.8047849486   -2.6895980844
   2.8858732802   -0.8656363981   -2.6895980844
   1.7829287617   -3.2097693454    1.0334556565
   2.7704079856   -3.2097693454    0.7126042070
   2.0880766235   -2.2706207948    0.7126042070
   0.9840412880   -3.7901950701    0.7126042070
   2.0880766235   -4.1489178959    0.7126042070
   3.3807037091   -3.2097693454   -0.1273957930
   0.2815114340   -3.7562405619   -0.1273957930
   0.9840412880   -4.5934830393   -0.1273957930
   2.0603794696   -4.7832705011   -0.1273957930
   3.0068953815   -4.2367992846   -0.1273957930
   0.9840412880   -4.5934830393   -1.1656928940
   2.0603794696   -4.7832705011   -1.1656928940
   0.2351123148   -3.8316093024   -0.8869627832
  -1.2510514369   -1.5190933655   -2.9869627832
   1.0189336719   -2.9407938972   -3.7556161311
  -0.9496739408   -3.4365015475   -0.8685044239
  -1.6522037948   -3.4025470393   -1.7085044239
  -0.9496739408   -4.2397895167   -1.7085044239
   0.1266642408   -4.4295769785   -1.7085044239
  -1.6522037948   -2.3096046063   -2.7468015250
  -1.6522037948   -3.4025470393   -2.7468015250
  -0.9496739408   -4.2397895167   -2.7468015250
   0.1266642408   -4.4295769785   -2.7468015250
  -0.9496739408   -2.2756500980   -3.5868015250
  -0.9496739408   -3.4365015475   -3.5868015250
   0.1543613947   -3.7952243733   -3.5868015250
  -0.1507864671   -2.8560758228   -3.9076529744
   1.8240360416   -0.3781942019   -2.3009298623
   2.1978443691   -1.4052241412   -3.3392269634
   1.8240360416   -0.3781942019   -3.3392269634
   0.8775201297    0.1682770146   -3.3392269634
  -0.1988180519   -0.0215104472   -3.3392269634
  -0.9013479060   -0.8587529247   -3.3392269634
   1.5875486456   -1.4052241412   -4.1792269634
   0.9052172835   -0.4660755906   -4.1792269634
  -0.1988180519   -0.8247984164   -4.1792269634
  -0.1988180519   -1.9856498659   -4.1792269634
   0.9052172835   -2.3443726917   -4.1792269634
   0.6000694218   -1.4052241412   -4.5000784129
  -1.7972587506   -2.6355259496   -0.8329712274
